Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-OCT-2024|AALI|EQUITY|1924688333|6775|64064827|31849924|6512502|49700|183124847|2731527|349958|3679512|4746227|297109024|927600|6499416|17238391|9588396|1782464|25110472|24426419|190500|7916911|93680569
31-OCT-2024|ABBA|EQUITY|3935892857|29|62150900|2352371805|0|0|1018818446|0|477|71|0|3433341699|0|20400|0|41020085|1940300|0|1333800|0|0|44314585
31-OCT-2024|ABDA|EQUITY|620806680|4060|0|40248|0|98|394582|0|7500|505684|20|948132|566584904|21728234|0|3600|400|0|4400|0|30499400|618820938
31-OCT-2024|ABMM|EQUITY|2753165000|3980|2349700|1481523233|86000|0|413698400|325900|4863227|0|0|1902846460|78000|804856067|4581186|8222268|84800|22966312|1212688|286485|8030734|850318540
31-OCT-2024|ACES|EQUITY|17120389700|900|670306795|10540023700|86623211|0|765807091|614504660|3956358|11768514|33800|12693024129|64404100|416782388|323358552|550245162|8620700|1497688717|144076686|41331600|1380757666|4427265571
31-OCT-2024|ACRO|EQUITY|3469155318|77|0|250000|0|0|3272773018|0|0|0|0|3273023018|0|0|0|1365300|194661700|0|105300|0|0|196132300
31-OCT-2024|ACST|EQUITY|12675160000|107|0|11194884035|7700|0|1449354114|0|957|0|80|12644246886|0|120|0|12428144|2639435|14642100|1187295|0|16020|30913114
31-OCT-2024|ADCP|EQUITY|22222222200|50|0|447118800|1200000|0|1597340300|0|1558700|200|170563000|2217781000|0|0|0|580800|3646400|0|214000|0|0|4441200
31-OCT-2024|ADES|EQUITY|589896800|11500|0|1063700|58500|350|43823377|0|471|0|0|44946398|0|539011613|187900|4050164|93600|111500|180000|0|355697|543990474
31-OCT-2024|ADHI|EQUITY|8407608979|288|27015965|163871673|72053420|3000000|2390072899|36424523|170610916|22833872|1655147|2887538415|0|6183749|0|28651670|22830246|31852983|15832105|0|5936019|111286772
31-OCT-2024|ADMF|EQUITY|1000000000|10875|4432200|582800|106600|920700000|43683800|8614400|199515|39900|0|978359215|22100|625331|595639|10524118|744700|1143894|4229403|33300|3622300|21540785
31-OCT-2024|ADMG|EQUITY|3889179559|127|1030000|1399506693|2290400|0|504197587|83|450027|0|0|1907474790|0|1662400|0|3726347|2721800|0|4265996|0|1925414460|1937791003
31-OCT-2024|ADMR|EQUITY|40882331500|1400|866878900|35832373091|101571100|0|1480183400|481016652|52391477|29909400|948500|38845272520|99832300|1188562988|59615164|134129115|58957500|203878647|92667570|404800|199010896|2037058980
31-OCT-2024|ADRO|EQUITY|30758665900|3620|916579502|15768531053|150416900|1500|6867368601|616414265|123286395|19419900|627827|24462645943|40344645|886753026|954285752|795813553|13528842|1769204655|294544259|75675535|1465869690|6296019957
31-OCT-2024|AEGS|EQUITY|1006080721|31|0|19000|0|0|398645121|0|0|0|0|398664121|0|0|0|0|1416600|0|0|0|0|1416600
31-OCT-2024|AGAR|EQUITY|1000000000|288|0|798985100|0|0|200963800|0|0|0|0|999948900|0|200|0|28700|22200|0|0|0|0|51100
31-OCT-2024|AGII|EQUITY|3066660000|1725|7794700|1019737429|3767300|0|125550391|30296300|12060|986500|0|1188144680|0|995953920|25610200|6302300|9289400|637900|9378600|0|200000|1047372320
31-OCT-2024|AGRO|EQUITY|24740494294|268|0|82657507|612577003|21243815886|2403099410|65149311|423000|1794569|1083971|24410600657|0|14370526|0|39859352|12027437|44400|6574941|0|80|72876736
31-OCT-2024|AGRS|EQUITY|47864384874|83|0|410253972|0|0|1691462967|0|229728349|0|1709600|2333154888|0|0|0|4931814|19666444|29509100|2433242|0|5886453341|5942993941
31-OCT-2024|AHAP|EQUITY|4900000000|102|3066343009|141872381|0|0|1447716795|0|55088|66|0|4655987339|64086000|0|0|5223941|170361807|0|0|0|55|239671803
31-OCT-2024|AIMS|EQUITY|220000000|486|0|171973590|0|0|47825110|0|18000|0|0|219816700|0|0|0|10900|12000|0|10400|0|0|33300
31-OCT-2024|AISA|EQUITY|9311800000|131|169620483|6968675858|4440400|0|1636723939|7088900|24330625|100|8794665|8819674970|0|321028008|1927300|150226112|8408900|0|9676616|0|230594|491497530
31-OCT-2024|AKKU|EQUITY|6449463636|17|0|5519566100|0|0|635211536|0|664400|6900|0|6155448936|0|206534000|0|100|1050200|0|2040400|0|84390000|294014700
31-OCT-2024|AKPI|EQUITY|612248000|670|4000|145619673|0|2|101430204|17500|2122|0|0|247073501|0|3900|34|56201|20603|0|100500|0|10300|191538
31-OCT-2024|AKRA|EQUITY|20073474600|1350|743897800|3475083877|134536600|5000000|902652883|459269947|5571716|18986000|0|5744998823|49438200|163285095|1067658405|366355834|14348100|1653488342|174928990|19474700|1107869011|4616846677
31-OCT-2024|AKSI|EQUITY|720000000|460|0|6653544|0|0|50282856|0|0|0|0|56936400|0|51000|0|496900|1600|0|52600|0|0|602100
31-OCT-2024|ALDO|EQUITY|2700713744|535|0|1977868132|0|0|722785246|0|122|0|0|2700653500|0|0|0|4232|56000|0|0|0|12|60244
31-OCT-2024|ALII|EQUITY|15825800000|396|0|159257200|0|0|613919300|0|0|0|0|773176500|0|0|0|709000|28412800|2745654700|500000|0|0|2775276500
