Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2025|AADI|EQUITY|7786891760|6800|94499837|5072258319|20144090|41|1828537518|87164364|26365465|3209131|100275|7132279040|0|148095915|20326644|253609630|4037882|89347789|45044414|0|94150446|654612720
31-JUL-2025|AALI|EQUITY|1924688333|6800|64221016|32652124|5780136|49700|174545758|1966333|9574|3663412|4747227|287635280|678200|8229238|18966759|9419338|1191052|31339468|24959152|190500|8188106|103161813
31-JUL-2025|ABBA|EQUITY|3935892857|37|0|2360180205|0|0|1074449493|0|430|71|0|3434630199|0|1320400|0|41020085|651700|0|33900|0|0|43026085
31-JUL-2025|ABDA|EQUITY|620806680|3400|0|40248|0|98|418482|0|7500|499384|20|965732|538567304|21728234|0|28003600|400|0|4400|0|30499400|618803338
31-JUL-2025|ABMM|EQUITY|2753165000|2940|1595200|1482454833|86000|0|423362300|320000|1065767|0|0|1908884100|0|804566379|3659489|4235532|107100|21768012|3526909|0|6417479|844280900
31-JUL-2025|ACES|EQUITY|17120389700|470|588749600|10729688500|128454311|6200000|1439234691|353640924|6054560|15774914|9539900|13277337400|6247400|450082533|204179081|574984376|5576800|1199242596|156604126|0|1246035388|3842952300
31-JUL-2025|ACRO|EQUITY|3469194139|67|0|4700|0|0|3307516071|0|68|0|0|3307520839|0|0|0|798700|160769300|0|105300|0|0|161673300
31-JUL-2025|ACST|EQUITY|17675160000|85|0|16196169935|7700|0|1464969114|0|1057|0|80|17661147886|0|140|0|8921244|3887435|0|1187295|0|16000|14012114
31-JUL-2025|ADCP|EQUITY|22222222200|50|0|447118900|1200000|0|1597707300|0|1558700|400|170563000|2218148300|0|0|0|213500|3646400|0|214000|0|0|4073900
31-JUL-2025|ADES|EQUITY|589896800|13500|0|2557300|0|350|42303577|0|371|0|0|44861598|0|539011710|161500|4202564|113200|111500|379300|0|316000|544295774
31-JUL-2025|ADHI|EQUITY|8407608979|242|19423679|316114873|64131520|3000000|2275208762|2035509|196366161|15793469|1655147|2893729120|0|6533525|440400|28340463|22009146|21212945|21958605|0|4600983|105096067
31-JUL-2025|ADMF|EQUITY|1000000000|9075|4432200|559900|106600|920700000|45036800|8310300|200015|0|0|979345815|14988|211831|588239|10074118|746500|730212|4557297|8600|3622400|20554185
