Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-APR-2024|AALI|EQUITY|1924688333|6500|64630427|29081424|6547512|49700|175890679|5791695|337815|3753812|4742227|290825291|1755010|6362601|20682570|8295520|1589164|29079267|23953621|190500|8056049|99964302
30-APR-2024|ABBA|EQUITY|3935892857|29|73325500|2352371805|0|0|995763477|0|522|71|0|3421461375|0|20400|0|47817485|7023200|0|1333800|0|0|56194885
30-APR-2024|ABDA|EQUITY|620806680|5000|0|40248|0|98|394382|0|7500|505884|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
30-APR-2024|ABMM|EQUITY|2753165000|3880|3555100|1480748733|77500|12000|360443800|4428100|4365916|20000|10000|1853661149|550000|843649836|13097764|8481265|322500|17150034|1373588|2282765|12596099|899503851
30-APR-2024|ACES|EQUITY|17150000000|935|766121515|289025800|113142511|0|951877191|730190302|3141097|16693214|43800|2870235430|34288800|335327634|409237966|346765896|2416900|1643845801|179868047|34727000|1008286526|3994764570
30-APR-2024|ACRO|EQUITY|3469138591|79|0|250000|0|0|3276701791|0|0|0|0|3276951791|0|0|0|2857500|189224000|0|105300|0|0|192186800
30-APR-2024|ACST|EQUITY|12675160000|121|0|11196285035|13800|0|1441670014|0|1157|0|80|12637970086|0|120|0|10581144|5160335|20245000|1187295|0|16020|37189914
30-APR-2024|ADCP|EQUITY|22222222200|50|0|444521200|6760000|0|1593611900|911000|1558700|200|170563000|2217926000|0|0|0|36500|3009700|0|0|0|1250000|4296200
30-APR-2024|ADES|EQUITY|589896800|10500|0|86500|58500|350|43488077|12800|471|0|0|43646698|0|540211613|187900|4063664|103100|111500|180000|0|370397|545228174
30-APR-2024|ADHI|EQUITY|8407608979|258|22509565|159367473|75480970|3000000|2349677496|57194104|132550635|24134651|1655147|2825570041|0|10780487|62362500|45922896|7833646|32507193|7862405|0|5986019|173255146
30-APR-2024|ADMF|EQUITY|1000000000|12075|4391900|562400|106600|920700000|43342800|9011400|210015|69900|0|978395015|22100|625331|568839|10634918|739500|1082800|4175897|33300|3622300|21504985
30-APR-2024|ADMG|EQUITY|3889179559|125|1030000|1399506693|2290400|0|504190487|83|450027|0|0|1907467690|0|1662400|0|3732947|2721800|0|4266496|0|1925414460|1937798103
30-APR-2024|ADMR|EQUITY|40882331500|1345|1058945200|35479748311|147302700|0|1375380500|660236767|555925|22560800|0|38744730203|98953100|1168074305|4159000|142354528|58317500|95962965|19260471|690700|549828728|2137601297
30-APR-2024|ADRO|EQUITY|31985962000|2710|1267585821|16916201453|115352900|15000|6951705958|634229242|64006280|22618900|724327|25972439881|35930714|959173876|900161298|623422671|12360872|1767093225|211859730|70049100|1433470633|6013522119
30-APR-2024|AEGS|EQUITY|1006004391|47|0|19000|0|0|398331291|0|0|0|0|398350291|0|0|0|118600|1535500|0|0|0|0|1654100
30-APR-2024|AGAR|EQUITY|1000000000|96|0|798985100|0|0|200992400|0|0|0|0|999977500|0|200|0|100|22200|0|0|0|0|22500
30-APR-2024|AGII|EQUITY|3066660000|1800|7794700|1019732529|3827000|0|127454591|31884000|5927160|986500|0|1197606480|0|989689520|28485800|6917700|1472500|891150|10253850|0|200000|1037910520
30-APR-2024|AGRO|EQUITY|24740494294|256|275400|69378307|721461247|21240142086|2224033019|46707064|3084|1594654|1070871|24304665732|0|17486625|31863069|7880252|2874362|57764638|60942634|0|81|178811661
30-APR-2024|AGRS|EQUITY|37783204065|62|0|414457472|0|20158930|1636857315|0|162|0|1709600|2073183479|0|0|0|3076714|28232744|28688500|4033242|0|6137753341|6201784541
30-APR-2024|AHAP|EQUITY|4900000000|102|3066343009|137635381|0|0|1451322464|0|4319|66|0|4655305239|64086000|183700|0|5881641|169862807|0|339700|0|55|240353903
30-APR-2024|AIMS|EQUITY|220000000|610|0|171904790|0|0|47536310|0|18000|0|0|219459100|0|0|0|261900|12000|0|117000|0|0|390900
30-APR-2024|AISA|EQUITY|9311800000|125|169620483|6955303558|4440400|0|1666611839|7088900|5367025|100|8794665|8817226970|0|320928008|1927300|151253012|9180600|296100|10129916|0|230594|493945530
30-APR-2024|AKKU|EQUITY|6449463636|9|0|5519566100|0|0|634341036|0|669900|6900|0|6154583936|0|196189000|0|100|1050200|0|2105400|0|95535000|294879700
30-APR-2024|AKPI|EQUITY|612248000|605|4000|145574173|0|2|70226818|17500|2122|0|0|215824615|0|12800|34|2801|20603|0|94400|0|10300|140938
30-APR-2024|AKRA|EQUITY|20073474600|1675|953903600|2965616977|175097400|5000000|742201183|687675355|4082583|21047700|20000|5554644798|66510800|290070555|759101294|440694664|25701200|1758639721|322323109|17902500|1126256859|4807200702
30-APR-2024|AKSI|EQUITY|720000000|132|0|16086244|0|0|41450256|0|0|0|0|57536500|0|0|0|100|1600|0|300|0|0|2000
30-APR-2024|ALDO|EQUITY|1350356872|905|0|988934066|0|0|361302423|74800|61|0|0|1350311350|0|0|0|17466|28000|0|0|0|56|45522
30-APR-2024|ALII|EQUITY|15825800000|374|0|142366900|0|0|282544100|0|0|0|0|424911000|0|74300|0|18850800|13646700|2707175500|501700|0|0|2740249000
30-APR-2024|ALKA|EQUITY|507665055|348|0|25390500|0|77500|48502105|0|21200|0|0|73991305|0|0|0|287600|2624023|849300|100|0|0|3761023
30-APR-2024|ALMI|EQUITY|3816000000|80|0|96601840|0|0|47449700|0|303000|0|0|144354540|0|0|0|32818700|726000|0|1604500|0|0|35149200
30-APR-2024|ALTO|EQUITY|2191870558|10|0|1372034116|0|0|578989724|0|230211018|0|0|2181234858|0|50000|0|7560100|46000|0|2728100|0|0|10384200
30-APR-2024|AMAG|EQUITY|5001552516|340|48015600|3554700|210019533|388000000|38908096|0|23887500|0|0|712385429|0|5783100|0|4938300|7766300|3352200|64681100|0|13103000|99624000
30-APR-2024|AMAN|EQUITY|3873500000|99|0|100000|0|0|584159400|0|0|0|0|584259400|0|0|0|740400|0|0|200|0|0|740600
30-APR-2024|AMAR|EQUITY|18381094760|250|0|51762372|0|275759755|438437982|0|310|0|0|765960419|0|15418754446|0|1655331771|703103|30648926|325063820|0|821275|17431323341
30-APR-2024|AMFG|EQUITY|434000000|4800|23500|13696982|0|0|33848100|32000|35076|0|0|47635658|114800|21807100|191300|1040800|47300|1592700|12100759|76900|222183|37193842
30-APR-2024|AMIN|EQUITY|1080000000|153|0|0|0|0|69023200|0|0|0|0|69023200|0|17438300|0|4197000|247910400|0|192800|0|10438300|280176800
30-APR-2024|AMMN|EQUITY|72518217656|9700|72757400|65595260256|5222900|0|1113590300|45204015|1828|0|4500|66832041199|37415854|461168800|229452435|769053879|221689400|826830542|104762396|7091600|3028711551|5686176457
30-APR-2024|AMMS|EQUITY|1200053130|22|0|28913900|0|0|209525432|0|98|0|0|238439430|0|0|0|100|1126800|0|486800|0|0|1613700
30-APR-2024|AMOR|EQUITY|2222222400|975|35031800|351494900|0|0|424129900|0|10300200|2000|0|820958800|10730454|149400|0|49461500|1000200|4788600|154300|0|859146|67143600
30-APR-2024|AMRT|EQUITY|41524501700|2930|555835000|14778082534|50023600|0|2391095139|408390517|333881|1859800|786100|18186406571|177032900|4315283284|1587550694|2018912580|614000|4185405733|736894074|27936400|2108465464|15158095129
30-APR-2024|ANDI|EQUITY|9350000000|9|25543605|797718480|1438400|0|1537891957|1499145661|266933208|2702640|567409200|4698783151|0|0|0|5100|1159949|0|21800|0|0|1186849
30-APR-2024|ANJT|EQUITY|3354175000|695|0|2741371999|0|45000|602568064|100|413700|0|47400|3344446263|0|481400|545200|2955700|766637|1235200|3228400|0|514700|9727237
30-APR-2024|ANTM|EQUITY|24030764725|1640|1112962299|76590374|101899278|3500012|3235453435|545399061|54905388|18841250|1431667|5150982764|44125242|170798986|739237492|384079351|14443049|1041861174|170315966|7705700|648174768|3220741728
30-APR-2024|APEX|EQUITY|2933628566|157|0|2055613313|0|0|259794401|0|4534|0|0|2315412248|0|307752577|0|210608715|21743767|0|397587|0|0|540502646
30-APR-2024|APIC|EQUITY|11766313488|1135|359623600|9423861312|0|0|291132668|315408375|559748174|21040800|0|10970814929|6068800|74753135|49383600|480690277|1250|102080800|2452200|0|80068497|795498559
30-APR-2024|APII|EQUITY|1075760000|181|0|1674600|0|0|55820300|0|0|0|0|57494900|0|295400|0|2298700|36762300|0|34664700|0|143096000|217117100
30-APR-2024|APLI|EQUITY|1362671400|610|0|201399300|0|0|560442000|0|165000|0|0|762006300|0|0|0|100|85000|0|479000|0|0|564100
30-APR-2024|APLN|EQUITY|22699326779|112|5283600|9322827998|2000000|0|3039627716|11097000|124180168|700000|390000|12506106482|0|16503882|51596208|294053720|5680300|12421342|4046761|7279808|107858276|499440297
30-APR-2024|APOL|EQUITY|16452282461|0|0|649059480|1400000|0|775953251|0|90689820|14086735|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410334020|0|71420000|5338013574
30-APR-2024|ARCI|EQUITY|24835000000|300|56370800|23226643317|308200|0|839909683|13874900|382184158|0|0|24519291058|0|1951300|0|151996150|8190100|6341310|1869442|0|145360640|315708942
30-APR-2024|AREA|EQUITY|2539601000|113|0|276562500|0|0|230963200|0|0|0|0|507525700|0|0|0|334500|419500|0|1720300|0|0|2474300
30-APR-2024|ARGO|EQUITY|3174339029|950|45000|661932914|0|0|695650|0|83000|0|0|662756564|0|280|0|5387820|11250|0|1100|0|0|5400450
30-APR-2024|ARII|EQUITY|3431000000|306|117981800|1530996200|62900|0|529750800|150384000|0|0|0|2329175700|0|312864100|0|216990500|2105800|0|23500|0|76134900|608118800
30-APR-2024|ARKA|EQUITY|2000000000|14|0|1093942500|0|0|899210100|0|2100|0|0|1993154700|0|250100|0|100|4109800|0|1235300|0|0|5595300
30-APR-2024|ARKO|EQUITY|2928495000|960|0|2455617693|0|0|165338000|0|0|0|0|2620955693|0|295272907|0|11580900|366400|0|319100|0|0|307539307
30-APR-2024|ARMY|EQUITY|9006250000|50|1054253569|2879287175|8219655|0|1556658624|1953877388|279965587|2541349|526952595|8261755942|0|488927400|0|31551200|1064158|2532000|4800|0|0|524079558
30-APR-2024|ARNA|EQUITY|7341430976|650|166774097|1221372776|26627100|0|3442372961|49743100|573857|0|0|4907463891|0|250216250|104375500|536382528|25462628|1085741176|5590692|47589200|378609111|2433967085
30-APR-2024|ARTA|EQUITY|446674175|2710|0|42051300|0|0|377762725|0|0|0|0|419814025|0|20000000|0|850|499500|0|6359800|0|0|26860150
30-APR-2024|ARTI|EQUITY|7840000000|3|74373974|2650331886|739500000|0|3801280050|505451300|686590|0|23750000|7795373800|0|0|0|100|14241400|0|8340700|0|20669000|43251200
30-APR-2024|ARTO|EQUITY|13856250000|2150|75519007|7059801992|18119762|0|1247451890|150070725|5666779|2507400|250015|8559387570|3199703|1342197396|70480996|2091238668|2994700|83925466|97576603|0|1366686398|5058299930
30-APR-2024|ASBI|EQUITY|348386472|870|13018992|309537614|22|1106|14852986|0|27360|0|0|337438080|0|0|0|201740|530170|0|1092388|0|0|1824298
30-APR-2024|ASDM|EQUITY|384000000|466|0|65808000|0|26400|33179920|4000000|0|0|0|103014320|0|313600|0|111900|966900|865800|4438000|0|0|6696200
30-APR-2024|ASGR|EQUITY|1348780500|795|1552500|7693660|0|178000|253664328|12902900|128426|500|0|276120314|0|211300|2766300|1244300|668600|6074400|4869485|0|5644861|21479246
30-APR-2024|ASHA|EQUITY|5000000000|50|0|2764842600|0|0|1750673000|6705600|400100100|100|0|4922321400|0|2051000|0|74664400|963200|0|0|0|0|77678600
30-APR-2024|ASIA|EQUITY|2275009490|0|250000|16422970|0|83334|1025414332|0|6278531|0|22620680|1071069847|0|334|0|1720002|7516173|0|24374843|0|1153364243|1186975595
30-APR-2024|ASII|EQUITY|40483553140|5150|2283606952|173881640|254253573|5026950|2329840673|740206953|34241686|71671100|24495430|5917224957|224412247|396398694|2192564313|1427517396|8963730|5417400744|427178990|201124700|2042497389|12338058203
30-APR-2024|ASJT|EQUITY|1400000000|115|30426303|19845033|1083786509|0|185330367|32660956|41258938|0|6323900|1399632006|0|0|0|51378|295916|0|20700|0|0|367994
30-APR-2024|ASLC|EQUITY|12746354780|94|330673700|147850700|32578900|0|1678173322|306773600|502800|100|0|2496553122|0|56534363|0|23419700|2286000|0|8862300|0|267482600|358584963
30-APR-2024|ASLI|EQUITY|6250000000|50|0|766454500|0|0|5480548800|0|0|1100|0|6247004400|0|0|0|121400|2874200|0|0|0|0|2995600
30-APR-2024|ASMI|EQUITY|8958380460|11|2693479000|2158899900|0|7658500|3688327060|431000|41941400|0|6920800|8597657660|0|0|0|38900|21380800|6615800|2437200|0|24535300|55008000
30-APR-2024|ASPI|EQUITY|683810725|187|0|349995000|0|0|326503825|0|0|0|0|676498825|0|2207600|0|5089700|9600|0|0|0|0|7306900
30-APR-2024|ASRI|EQUITY|19649411888|132|23054000|9970622660|16267500|0|3292776542|113699299|2009638516|8106000|250100|15434414617|0|104838742|100040397|286909320|8098300|406749250|238444222|3143800|84323240|1232547271
30-APR-2024|ASRM|EQUITY|304283840|1595|15213|33357579|0|0|14900415|0|2853|135|4548561|52824756|0|204334|0|30618|11075|0|362954|0|2140310|2749291
30-APR-2024|ASSA|EQUITY|3691137517|775|54163900|1799418777|19814273|0|1382812150|92375806|2052092|6971700|100|3357608798|0|2485107|0|89314445|3152900|42359475|99420015|0|96796777|333528719
30-APR-2024|ATAP|EQUITY|1250000000|50|0|59500000|0|0|95552000|0|0|0|0|155052000|0|94708900|0|100|239000|0|0|0|0|94948000
30-APR-2024|ATIC|EQUITY|2315361355|386|0|797805618|0|0|495472616|0|0|0|0|1293278234|0|863645841|0|154100|806200|0|25000|0|0|864631141
30-APR-2024|ATLA|EQUITY|6199500000|282|0|700000|0|0|1997174800|0|0|0|0|1997874800|0|0|0|180900|1908600|0|35700|0|0|2125200
30-APR-2024|ATPK|EQUITY|5760245414|0|334100|3695100|18900|0|250304994|0|12500|0|7733000|262098594|0|3651000|3400000|366222000|1161500|0|516347807|0|99759129|990541436
30-APR-2024|AUTO|EQUITY|4819733000|2080|33300200|61701087|2671375|0|288853143|30799486|8116140|2500|777275|426221206|477400|275983525|33105609|62846615|660475|88739297|23570067|1405300|49694949|536483237
30-APR-2024|AVIA|EQUITY|61953555600|510|81359700|21764692000|31872000|0|1653144672|223106436|5675952|11703900|327500|23771882160|113757000|5314966726|305664946|323460130|339200|5119014947|226475268|13579800|1659882223|13077140240
30-APR-2024|AWAN|EQUITY|3435000000|332|0|2688371100|0|0|340868100|0|0|0|0|3029239200|0|0|0|3093200|497600|400000000|2170000|0|0|405760800
30-APR-2024|AXIO|EQUITY|5840126500|197|0|1111585000|115946200|0|460648800|0|5000|0|130000|1688315000|0|0|0|1066100|745400|0|0|0|0|1811500
30-APR-2024|AYAM|EQUITY|4000000000|105|0|143221900|0|0|631384400|0|0|0|5000|774611300|0|100|0|24953000|125900|0|309700|0|0|25388700
30-APR-2024|AYLS|EQUITY|853423236|50|0|594777100|0|0|257245136|0|0|0|0|852022236|0|0|0|500100|700900|0|200000|0|0|1401000
30-APR-2024|BABP|EQUITY|44458997354|50|117046900|28112963312|8825000|0|5072592506|122533576|7577584|3221150|24|33444760052|0|9140990619|0|96370200|3664600|16105300|27053033|0|1285389322|10569573074
30-APR-2024|BABY|EQUITY|2668586400|90|0|54943194|0|0|96399500|19624200|0|0|0|170966894|0|2496267906|0|1188600|163000|0|0|0|0|2497619506
30-APR-2024|BACA|EQUITY|19953024885|130|0|16287395807|0|12686999|1887052933|1284571013|323034|1626000|37500|19473693286|0|0|0|5077700|500200|42727400|627790|0|230868260|279801350
30-APR-2024|BAIK|EQUITY|1125000000|80|0|420100|0|0|223903900|0|0|0|0|224324000|0|0|0|399500|276500|0|0|0|0|676000
30-APR-2024|BAJA|EQUITY|1800000000|100|0|88000000|0|0|311005300|0|0|0|0|399005300|0|520000|0|438600|29600|0|6500|0|0|994700
30-APR-2024|BALI|EQUITY|3934592500|1145|56618402|2587960098|0|0|381594400|109088200|121711900|0|0|3256973000|0|99800000|0|67076200|38800|0|9500|0|68625000|235549500
30-APR-2024|BANK|EQUITY|14768420517|1005|1122595800|4854954714|6236600|0|319817163|466995500|15000547|100|0|6785600424|5584900|17922300|28438200|917431471|66100|97703500|4685676|0|80742200|1152574347
30-APR-2024|BAPA|EQUITY|661784520|50|0|375332100|0|0|172883603|0|106238617|0|0|654454320|0|1032500|0|575100|3980300|0|1737300|0|0|7325200
30-APR-2024|BAPI|EQUITY|5591980103|50|38067999|10742709|1114534|0|1378766027|201769663|11875045|1064889|7165200|1650566066|0|6939300|0|100|20251637|0|5000|0|0|27196037
30-APR-2024|BATA|EQUITY|1300000000|97|0|328500|0|50000|70855170|0|0|5800|0|71239470|0|0|0|109664500|7967500|28347500|3096500|0|0|149076000
30-APR-2024|BAUT|EQUITY|4800135641|13|0|752121400|0|0|1445206181|0|660|41000|58000|2197427241|0|2600000000|0|900|2707500|0|0|0|0|2602708400
30-APR-2024|BAYU|EQUITY|353220780|1245|607283|109174197|1832900|27384|45276444|23218700|10912|0|0|180147820|0|30618000|0|128093514|9041|1420000|854000|0|4250830|165245385
30-APR-2024|BBCA|EQUITY|123275050000|9800|1716414695|85558990|320324650|1715000|4735396004|1003935681|58195120|57585100|1939900|7981065140|591253685|1798032304|6353259639|3179617718|315271740|19825422748|1108338522|666406505|10635028119|44472630980
30-APR-2024|BBHI|EQUITY|21730256442|1010|0|17831772581|0|0|1179941431|4382768|12656476|80|3140700|19031894036|0|2352061233|0|3341175|38629354|3909200|1299330|0|81819549|2481059841
30-APR-2024|BBKP|EQUITY|187887539870|66|11702999|2799127825|18236042|19662220|18727628105|23570000|435044644|4621678|871905006|22911498519|29657386|32366655120|549364168|1112919673|140359885|1427497638|1088012812|0|1363495697|38077962379
30-APR-2024|BBLD|EQUITY|1645796054|570|54798185|1178591865|0|1283|86515824|1125300|33453|0|0|1321065910|0|5091695|0|243468297|71134214|0|179304|0|3530300|323403810
30-APR-2024|BBMD|EQUITY|4090090000|2000|0|100|0|63021200|192644300|0|0|0|0|255665600|0|0|0|1500|63252800|0|60100|0|111020000|174334400
30-APR-2024|BBNI|EQUITY|37297312916|5250|1897399082|68192772|117432840|7367350|1957614787|708199636|34780704|43443180|1878322|4836308673|240939697|468563361|1560222527|1041766970|3963196|3800305256|347332453|22780380|2590071017|10075944857
30-APR-2024|BBRI|EQUITY|151559001604|4940|3036956950|179242016|545665878|850686785|4146204630|1581924614|71843461|265369471|5501780223|16179674028|1301608669|2188490054|7394433386|5868277327|42467892|22167613576|1369705317|247232641|14171489746|54751318608
30-APR-2024|BBRM|EQUITY|8479490328|69|0|6654186184|0|0|333594790|0|263911|0|66|6988044951|0|1114168300|0|256035652|13534431|0|104772532|0|2933333|1491444248
